Entity,Code,Year,Women,Men
Albania,ALB,1987,273.96573,402.99805
Albania,ALB,1988,275.69785,406.5019
Albania,ALB,1989,271.73746,427.38464
Albania,ALB,1992,232.0761,363.07434
Albania,ALB,1993,206.26067,340.29434
Albania,ALB,1994,182.93806,309.22446
Albania,ALB,1995,231.59773,368.35693
Albania,ALB,1996,243.8248,411.38275
Albania,ALB,1997,216.50345,372.954
Albania,ALB,1998,250.99474,403.45233
Albania,ALB,1999,232.59615,367.89117
Albania,ALB,2000,287.2155,427.62924
Albania,ALB,2001,224.33714,340.02942
Albania,ALB,2002,247.8395,361.15854
Albania,ALB,2003,274.64017,392.86835
Albania,ALB,2004,264.42883,368.04852
Albania,ALB,2005,248.16145,350.46826
Albania,ALB,2006,243.16812,325.50446
Albania,ALB,2007,205.6057,278.8211
Albania,ALB,2008,237.88066,326.56543
Albania,ALB,2009,232.66354,299.8986
Albania,ALB,2010,163.3574,207.67834
Antigua and Barbuda,ATG,1961,455.53223,273.22678
Antigua and Barbuda,ATG,1962,367.9119,398.6354
Antigua and Barbuda,ATG,1963,380.05695,476.01093
Antigua and Barbuda,ATG,1964,325.9584,391.3423
Antigua and Barbuda,ATG,1966,419.90118,558.9121
Antigua and Barbuda,ATG,1969,286.02832,389.96832
Antigua and Barbuda,ATG,1970,967.3217,459.56973
Antigua and Barbuda,ATG,1971,875.4118,466.01096
Antigua and Barbuda,ATG,1972,955.7209,460.72192
Antigua and Barbuda,ATG,1973,1013.437,423.82065
Antigua and Barbuda,ATG,1974,1152.0278,473.8061
Antigua and Barbuda,ATG,1975,1034.0015,507.8852
Antigua and Barbuda,ATG,1976,1169.9032,532.798
Antigua and Barbuda,ATG,1977,988.03564,480.38174
Antigua and Barbuda,ATG,1978,662.57654,372.63715
Antigua and Barbuda,ATG,1983,225.8628,317.27478
Antigua and Barbuda,ATG,1985,389.97748,301.8272
Antigua and Barbuda,ATG,1986,335.34055,299.37088
Antigua and Barbuda,ATG,1987,324.39215,364.99756
Antigua and Barbuda,ATG,1988,396.39154,362.63486
Antigua and Barbuda,ATG,1989,257.8051,287.5858
Antigua and Barbuda,ATG,1990,329.10248,292.73486
Antigua and Barbuda,ATG,1991,287.2861,256.24222
Antigua and Barbuda,ATG,1992,313.6855,313.67563
Antigua and Barbuda,ATG,1993,281.92633,320.13495
Antigua and Barbuda,ATG,1994,277.62793,256.9197
Antigua and Barbuda,ATG,1995,231.16093,314.35593
Antigua and Barbuda,ATG,1998,260.52017,308.20624
Antigua and Barbuda,ATG,1999,267.15445,329.6312
Antigua and Barbuda,ATG,2000,204.95485,224.28146
Antigua and Barbuda,ATG,2001,198.29494,281.7982
Antigua and Barbuda,ATG,2002,207.10359,227.21768
Antigua and Barbuda,ATG,2003,229.06041,291.9268
Antigua and Barbuda,ATG,2004,230.48505,249.34894
Antigua and Barbuda,ATG,2005,237.58766,276.40253
Antigua and Barbuda,ATG,2006,210.39671,234.99274
Antigua and Barbuda,ATG,2007,158.02007,248.10019
Antigua and Barbuda,ATG,2008,195.51006,251.05199
Antigua and Barbuda,ATG,2009,151.9749,161.17514
Antigua and Barbuda,ATG,2010,115.176926,136.6042
Antigua and Barbuda,ATG,2011,131.34244,200.32854
Antigua and Barbuda,ATG,2012,162.89537,205.91049
Antigua and Barbuda,ATG,2013,145.61867,216.17043
Antigua and Barbuda,ATG,2014,193.49104,246.76784
Antigua and Barbuda,ATG,2015,154.88448,211.75322
Antigua and Barbuda,ATG,2016,154.07213,200.86128
Antigua and Barbuda,ATG,2017,169.90738,217.02272
Antigua and Barbuda,ATG,2018,183.93434,189.10605
Antigua and Barbuda,ATG,2019,174.92477,265.77975
Antigua and Barbuda,ATG,2020,182.60507,211.51964
Antigua and Barbuda,ATG,2021,147.85825,169.39102
Argentina,ARG,1966,276.43372,397.57666
Argentina,ARG,1967,299.72818,461.9303
Argentina,ARG,1968,316.65363,484.01605
Argentina,ARG,1969,340.11908,524.92535
Argentina,ARG,1970,326.27405,526.7485
Argentina,ARG,1977,332.73926,486.33136
Argentina,ARG,1978,328.2721,481.53027
Argentina,ARG,1979,347.46222,494.76974
Argentina,ARG,1980,318.7226,496.0759
Argentina,ARG,1981,325.33414,484.2572
Argentina,ARG,1982,307.24094,440.21838
Argentina,ARG,1983,335.6134,476.7832
Argentina,ARG,1984,334.3554,501.07407
Argentina,ARG,1985,314.4829,457.35727
Argentina,ARG,1986,311.51215,456.2256
Argentina,ARG,1987,312.61514,456.5932
Argentina,ARG,1988,286.79208,432.8544
Argentina,ARG,1989,273.49594,423.58636
Argentina,ARG,1990,279.414,429.00543
Argentina,ARG,1991,261.87885,420.36472
Argentina,ARG,1992,266.2793,423.70096
Argentina,ARG,1993,258.04166,419.45694
Argentina,ARG,1994,230.47096,378.68057
Argentina,ARG,1995,239.32845,392.46393
Argentina,ARG,1996,220.73308,376.53223
Argentina,ARG,1997,175.40413,304.05902
Argentina,ARG,1998,178.94583,310.072
Argentina,ARG,1999,181.05682,312.44916
Argentina,ARG,2000,163.28285,289.14224
Argentina,ARG,2001,163.46442,283.62863
Argentina,ARG,2002,158.52849,282.54486
Argentina,ARG,2003,156.36505,274.175
Argentina,ARG,2004,147.64626,256.77982
Argentina,ARG,2005,142.67303,248.30032
Argentina,ARG,2006,139.14098,240.20613
Argentina,ARG,2007,143.95923,245.41522
Argentina,ARG,2008,134.00908,226.70938
Argentina,ARG,2009,130.11464,222.65613
Argentina,ARG,2010,138.89333,234.69675
Argentina,ARG,2011,134.37285,225.55682
Argentina,ARG,2012,128.43506,221.75014
Argentina,ARG,2013,122.817505,213.04083
Argentina,ARG,2014,118.68244,204.37009
Argentina,ARG,2015,121.82239,210.91074
Argentina,ARG,2016,125.727,217.86742
Argentina,ARG,2017,117.333725,204.9382
Argentina,ARG,2018,113.89427,199.60269
Argentina,ARG,2019,113.79069,197.87709
Argentina,ARG,2020,110.21322,194.08667
Argentina,ARG,2021,121.68376,207.32399
Argentina,ARG,2022,123.54667,207.2421
Armenia,ARM,1981,284.89124,381.0609
Armenia,ARM,1982,322.3586,420.41794
Armenia,ARM,1985,350.00763,433.54248
Armenia,ARM,1986,340.60593,438.05997
Armenia,ARM,1987,347.52432,443.06274
Armenia,ARM,1988,345.6939,476.44833
Armenia,ARM,1989,373.0354,487.5673
Armenia,ARM,1990,363.6822,506.65897
Armenia,ARM,1991,362.5641,498.7415
Armenia,ARM,1992,391.0401,530.9384
Armenia,ARM,1993,416.28052,558.9595
Armenia,ARM,1994,356.74945,477.14627
Armenia,ARM,1995,362.3336,491.22607
Armenia,ARM,1996,355.83194,464.2031
Armenia,ARM,1997,329.77567,430.41852
Armenia,ARM,1998,305.8447,401.0351
Armenia,ARM,1999,318.69455,400.67285
Armenia,ARM,2000,293.91476,375.6393
Armenia,ARM,2001,289.44568,379.19113
Armenia,ARM,2002,395.37616,546.55444
Armenia,ARM,2003,393.2855,559.05237
Armenia,ARM,2006,303.37076,439.26477
Armenia,ARM,2007,291.85696,435.34357
Armenia,ARM,2008,335.82126,489.9422
Armenia,ARM,2009,289.60364,424.42273
Armenia,ARM,2010,280.5578,424.0931
Armenia,ARM,2011,261.8736,402.78647
Armenia,ARM,2012,262.9061,396.13113
Armenia,ARM,2013,252.16866,376.78342
Armenia,ARM,2014,256.0281,384.19034
Armenia,ARM,2015,242.90456,365.18976
Armenia,ARM,2016,252.20251,375.915
Armenia,ARM,2017,276.62274,411.07794
Armenia,ARM,2018,256.1281,382.95636
Armenia,ARM,2019,249.11285,379.1187
Armenia,ARM,2020,299.264,484.96985
Armenia,ARM,2021,284.05283,449.69064
Armenia,ARM,2022,239.2008,379.1642
Armenia,ARM,2023,190.9986,314.10687
Australia,AUS,1950,424.03558,570.29987
